id,name,description,,,,,,,slug,,status,featured
1,Colombo,"Colombo, city executive and judicial capital of Sri Lanka. Sri Jayawardenepura Kotte, a Colombo suburb, is the legislative capital. Situated on the west coast of the island, just south of the Kelani River, Colombo is a principal port of the Indian Ocean. It has one of the largest artificial harbours in the world and handles the majority of Sri Lanka’s foreign trade.
Colombo is the city of contrasts, it is both a mixed blend of glossy hotels and swanky office blocks, adjoining beautiful red-tiled colonial-era buildings. Sprawling bustling street markets overflow with fragrant flavours, colourful silks, cottons and new products of the soil.",,,,,,,colombo,,1,1
2,Ella Sri Lanka,"Ella Sri Lanka is a small village in the highlands of Sri Lanka which is filled with tea estates, mountains, waterfalls and of course with some good air to breathe. After a fresh hike in the morning, hit a waterfall, grab some tasty Sri Lankan foods from somewhere with a beer, rest for a while and go for a rail walk to the famous Nine Arch Bridge Ella in the evening, and don't forget to take a ride down the Ravana Ella zipline! We’ve got the best Ella Sri Lanka Hotels listed on our site.",,,,,,,ella-sri-lanka,,1,1
3,Galle,"Galle - The Gateway to the south, a city rich in heritage and attractions. The city was named a UNESCO World Heritage Site in the 1980s. There are many things to do in Galle, visit the boutique stores to pick up some souvenirs, visit the stylish cafes and the Galle hotels. A great way to learn about the heritage of Galle is to visit the museums; National Museum of Galle, Martin Wickramasinghe Folk Art Museum, Dutch Museum, The Maritime Archeology Museum and the National Maritime Museum. Galle is also best known for its beaches and the historic Galle Fort. Some of the best Galle Hotels are Le Grande Galle and Amari Galle.",,,,,,,galle,,1,1
4,Jaffna,"Jaffna is the capital city of the Northern Province of Sri Lanka about 410 km away from Colombo. It is situated on a flat, dry peninsula at the island’s northern tip. Jaffna District is divided into four subdivisions. They are Islands, Valikamam, Thenmaradchy and Vadamaradchi. 85% of the populations of the Jaffna and Kilinochchi districts are Hindus.  An Old Dutch Fort still stands well preserved within which is an old Church. Another example of Dutch architecture is the King's House. No visit to Jaffna is complete without tasting the exquisite Jaffna mango, reputed for its sweetness. About 3 km away is the majestic Nallur Kandaswamy Temple, home to the largest religious temple in Jaffna. The Kayts Harbour is an ancient ship docking site in the Jaffna region.",,,,,,,jaffna,,1,1
5,Nuwara Eliya,"Nuwara Eliya meaning ""city on the plain'' or ""city of light"" is a town in the central highlands of Sri Lanka. It is one of the major tea producing areas in the world. The tallest mountain in Sri Lanka ""Pidurutalagala"" oversees this delightful city. It is the most visited hill country. Since the introduction of tea to Sri Lanka in the mid 19the century Nuwara Eliya has been the capital of the tea industry. Now it's a  modern, busy city with department stores, and fast food chains. Tourists will find a variety of recreational activities to do in this beautiful city, Nuwara Eliya is known to have the best 18-hole golf course in Asia and that's not all horse-riding, boating, bird-watching and hiking are few of the numerous fun things to go for.",,,,,,,nuwara-eliya,,1,1
6,Kandy,"The city of Kandy, with a rich architectural heritage, is home to the last king of Sri Lanka. The popular Kandy Colombo train ride brings you to the city of one of the most sought-after places to visit in Kandy, The temple of the tooth relic.  Within Kandy lies many temples and shrines with historical significance and many notable buildings from the British Colonial Era. A stay at a Kandy hotel is ideal for those that prefer serene surroundings with beautiful views. Take a stroll around the beautiful lush greenery and take in the architectural masterpieces like the Ceylon Tea Museum and the Kandy Botanical Gardens. Accommodation options in Kandy are vast with the most key resorts being Amaya Hills Kandy, Kandy Ozo, and much more.",,,,,,,kandy,,1,1
7,Ratnapura,"Ratnapura is a major city in Sri Lanka. It is the capital city of Sabaragamuwa Province, as well as the Ratnapura District, and is a traditional center for the Sri Lankan gem trade. It is located on the Kalu Ganga in south-central Sri Lanka, some 101 km southeast of the country's capital, Colombo.",,,,,,,ratnapura,,1,1
8,Kurunegala,"Kurunegala is a major city in Sri Lanka. It is the capital city of the North Western Province and the Kurunegala District. Kurunegala was an ancient royal capital for 50 years, from the end of the 13th century to the start of the 14th century.",,,,,,,kurunegala,,0,1
9,Sigiriya,Sigiriya is the world famous lion rock of Sri Lankaoften referred to as one of the 8 wonders of the world and a UNESCO world heritage site. Climbing the Sigiriya rock is a must-do in Sri Lanka. The rock was once a palace built between the 10th and 12th century. The ideal time to climb the rock is during the early hours of the morning to avoid the crowd and the sunny weather. Once you reach the top you will be able to witness the sigiriya paintings which are quite impressive and well preserved. You can find accommodation at sigiriya hotels such as the luxury sigiriya vil uyana by jetwing and sigiriya rock fortress.,,,,,,,sigiriya,,1,1
10,Luxury Sailing Sri Lanka,"Luxury Sailing Sri Lanka is the only sailing company to operate all-around Sri Lanka. Our ethos is based on a set of projects and actions we conduct as a socially responsible tourism company to share Sri Lanka’s wealth of marine, cultural and human heritage with our guests.

Our fleet of 10 yachts provides an exclusive advantage to stunning landscapes, pristine beaches along 1,340 kilometers of coastline, 10 national parks showcasing an abundance of wildlife. The island’s waters abounds in whales, dolphins, tropical fish and other aspects of ocean life. The warm waters of the Indian Ocean are perfect for relaxed and safe water sports and activities.",,,,,,,Luxury-Sailing-Sri-Lanka,,0,0
